Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
160602,00000047__,41.54,39.41465542,-75.0386854,6,610,Cumberland,Millville City,15441,8647,6794,01/01/2019,Volume 48hrs,North/South
091345,00000526__,11.22,40.175894,-74.570994,13,1351,Monmouth,Upper Freehold Twp,5876,3189,2687,01/01/2019,Classification 48hrs,East/West
6-6-240,13321017__,1.93,40.2383694,-74.4234556,13,1332,Monmouth,Millstone Twp,1253,599,654,01/01/2019,Volume 48hrs,North/South
091342,00000537__,61.95,40.3057,-74.103528,13,1336,Monmouth,Tinton Falls Boro,16181,7328,8853,01/01/2019,Classification 48hrs,East/West
150901,09091116__,0.9,40.78006135,-74.07391729,9,909,Hudson,Secaucus Town,5868,2554,3314,01/01/2019,major,North/South
091341,00000547__,24.95,40.2687667,-74.0832556,13,1336,Monmouth,Tinton Falls Boro,18304,9061,9243,01/01/2019,Volume 48hrs,East/West
150901,09091116__,0.9,40.78006135,-74.07391729,9,909,Hudson,Secaucus Town,6643,2981,3662,01/01/2019,major,North/South
091306,00000071__,8.93,40.22837503,-74.00885601,13,1303,Monmouth,Asbury Park City,13163,6391,6772,01/01/2019,7 days volume,North/South
13mc28,00000524__,19.74,40.2043722,-74.36396666,13,1332,Monmouth,Millstone Twp,2379,1039,1340,01/01/2019,major,East/West
c18161,12052044__,0.17,40.5719722,-74.3602056,12,1205,Middlesex,Edison Twp,361,72,289,01/01/2019,Volume 48hrs,North/South
150901,09091116__,0.9,40.78006135,-74.07391729,9,909,Hudson,Secaucus Town,7127,3145,3982,01/01/2019,major,North/South
092121,00000521__,6.73,40.98501292,-74.95299239,21,2104,Warren,Blairstown Twp,1622,821,801,01/01/2019,Classification 48hrs,North/South
150901,09091116__,0.9,40.78006135,-74.07391729,9,909,Hudson,Secaucus Town,6718,2936,3782,01/01/2019,major,North/South
091420,00000513__,39.47,40.86587049,-74.58031204,14,1432,Morris,Randolph Twp,9003,4282,4721,01/01/2019,Volume 48hrs,North/South
8-6-094,00000073__,3.01,39.60990708,-74.84822904,1,110,Atlantic,Folsom Boro,6637,3251,3386,01/01/2019,Volume 48hrs,North/South
161424,14000660__,1.64,40.97578705,-74.29732859,14,1431,Morris,Pequannock Twp,8247,4076,4171,01/01/2019,7 days volume,North/South
7-4-700,04000723__,4.71,39.67775203,-74.83206202,4,436,Camden,Winslow Twp,1532,751,781,01/01/2019,7 days volume,East/West
161422,14000655__,0.27,40.92286554,-74.3427572,14,1421,Morris,Montville Twp,5875,2843,3032,01/01/2019,Volume 48hrs,North/South
7-5-092,00000130__,25.56,39.87555829,-75.12562196,4,407,Camden,Brooklawn Boro,20149,7837,12312,01/01/2019,Volume 48hrs,North/South
130107,01101020__,0.29,39.60118505,-74.88185608,1,110,Atlantic,Folsom Boro,4755,2402,2353,01/01/2019,Classification 48hrs,North/South
7-4-688,04161080__,0.29,39.90901704,-75.06522504,4,416,Camden,Haddon Twp,305,159,146,01/01/2019,Volume 48hrs,East/West
4-5-618,12000614__,2.54,40.3358944,-74.5784056,12,1218,Middlesex,Plainsboro Twp,14404,7123,7281,01/01/2019,Classification 48hrs,East/West
190220,020001101_,1.84,40.97852351,-74.07882542,2,246,Bergen,Paramus Boro,14361,9131,5230,01/01/2019,Volume 48hrs,East/West
120202,00000503__,10.92,40.95740364,-74.03096387,2,244,Bergen,Oradell Boro,17575,8699,8876,01/01/2019,Classification 48hrs,North/South
13mc05,00000523__,8.27,40.4974583,-74.8834778,10,1021,Hunterdon,Raritan Twp,7319,3653,3666,01/01/2019,major,North/South
3-4-506,09000659__,1.61,40.73298046,-74.10769902,9,907,Hudson,Kearny Town,12556,6668,5888,01/01/2019,Volume 48hrs,North/South
8-8-078,00000552__,12.29,39.44502049,-75.00729118,6,614,Cumberland,Vineland City,6441,3079,3362,01/01/2019,Volume 48hrs,East/West
3-4-404,00000501__,24.44,40.66013446,-74.12806921,9,901,Hudson,Bayonne City,7553,4237,3316,01/01/2019,Volume 48hrs,North/South
n18134,02611266__,1.22,40.94336335,-73.96234064,2,208,Bergen,Cresskill Boro,7581,3404,4177,01/01/2019,Volume 48hrs,North/South
3-4-622,07111061__,0.49,40.73667488,-74.25825077,7,711,Essex,Maplewood Twp,526,247,279,01/01/2019,7 days volume,North/South
8-8-235,00000049__,53.53,39.29383312,-74.75726505,5,511,Cape May,Upper Twp,5792,2918,2874,01/01/2019,Classification 48hrs,East/West
3-4-639,09011166B_,0.98,40.67686747,-74.08853012,9,906,Hudson,Jersey City,9471,4314,5157,01/01/2019,Volume 48hrs,East/West
8-8-083,06141020__,0.85,39.4394891,-75.02558612,6,614,Cumberland,Vineland City,5990,3065,2925,01/01/2019,Volume 48hrs,East/West
7-9-546,04051105__,0.1,39.80136826,-74.95804264,4,405,Camden,Berlin Boro,410,213,197,01/01/2019,Volume 48hrs,North/South
15ms6a,05000619__,16.39,39.21357443,-74.65015251,5,511,Cape May,Upper Twp,624,284,340,01/01/2019,major,North/South
7n5h722,04081585__,0.22,39.94724501,-75.11624003,4,408,Camden,Camden City,16628,4547,12081,01/01/2019,Volume 48hrs,North/South
7-5-012,00000049__,1.61,39.66248,-75.51169,17,1708,Salem,Pennsville Twp,16648,8025,8623,01/01/2019,Volume 48hrs,East/West
7n5h710,04000644__,1.25,39.91213602,-75.03390303,4,417,Camden,Haddonfield Boro,13768,7051,6717,01/01/2019,Classification 48hrs,North/South
7-4-695,04000721__,2.31,39.69474601,-74.84782012,4,436,Camden,Winslow Twp,535,265,270,01/01/2019,Classification 48hrs,East/West
7-9-559,03221019__,0.21,39.97909412,-74.90426779,3,322,Burlington,Moorestown Twp,9673,4798,4875,01/01/2019,Volume 48hrs,East/West
8-8-504,00000563__,13.05,39.49042702,-74.60426301,1,111,Atlantic,Galloway Twp,7724,3630,4094,01/01/2019,Classification 48hrs,North/South
8-4-621,01171047__,0.62,39.6401761,-74.69868923,1,117,Atlantic,Mullica Twp,230,107,123,01/01/2019,Classification 48hrs,North/South
4-7-714,00000009__,136.14,40.562497,-74.296544,12,1225,Middlesex,Woodbridge Twp,45768,20092,25676,01/01/2019,7 days volume,North/South
8-4-443,00000561__,21.3,39.62733,-74.790276,1,113,Atlantic,Hammonton Town,6484,3410,3074,01/01/2019,7 days volume,North/South
14mc01,00000012__,4.99,40.5115361,-74.9759639,10,1016,Hunterdon,Kingwood Twp,7537,3675,3862,01/01/2019,major,East/West
8-4-215,00000322__,47.01,39.46918905,-74.69311501,1,112,Atlantic,Hamilton Twp,18902,9415,9487,01/01/2019,7 days volume,East/West
7-4-718,17051027__,1.51,39.62236,-75.44349,17,1705,Salem,Mannington Twp,85,42,43,01/01/2019,Volume 48hrs,East/West
8-4-212,00000009__,12,39.07416822,-74.82816397,5,506,Cape May,Middle Twp,14475,7606,6869,01/01/2019,Classification 48hrs,North/South
161702,00000045__,2.76,39.59788712,-75.43141586,17,1706,Salem,Oldmans Twp,4262,2053,2209,01/01/2019,Classification 48hrs,North/South
8-4-407,00000552__,19.24,39.42727404,-74.90462605,6,609,Cumberland,Maurice River Twp,7011,3550,3461,01/01/2019,7 days volume,East/West
7-4-702,08021170__,0.38,39.82817802,-75.09705602,8,802,Gloucester,Deptford Twp,14078,7663,6415,01/01/2019,Volume 48hrs,East/West
8-4-308,00000047__,33.24,39.30546203,-74.98078502,6,609,Cumberland,Maurice River Twp,19099,9782,9317,01/01/2019,Classification 48hrs,North/South
160820,08000712__,1.33,39.78512802,-75.12584072,8,802,Gloucester,Deptford Twp,659,320,339,01/01/2019,7 days volume,North/South
8-4-326,00000109__,1.62,38.95148091,-74.90796757,5,505,Cape May,Lower Twp,13714,6772,6942,01/01/2019,7 days volume,North/South
7-5-406,00000551__,28.27,39.86189601,-75.13385702,8,821,Gloucester,Westville Boro,5728,2938,2790,01/01/2019,Volume 48hrs,North/South
8-4-516,06000698__,5.24,39.39251803,-75.12395303,6,610,Cumberland,Millville City,1856,964,892,01/01/2019,7 days volume,East/West
7-5-169,00000073__,22.67,39.87335,-74.921973,3,313,Burlington,Evesham Twp,44110,21762,22348,01/01/2019,Classification 48hrs,North/South
8-4-501,01000682__,1.62,39.51926,-74.93702,1,104,Atlantic,Buena Boro,1999,1008,991,01/01/2019,Classification 48hrs,East/West
7-5-164,00000048__,0.82,39.71666929,-75.45463332,17,1702,Salem,Elmer Boro,6935,3532,3403,01/01/2019,Classification 48hrs,East/West
8-4-448,00000550__,10.5,39.233986,-74.801757,5,516,Cape May,Woodbine Boro,4070,2061,2009,01/01/2019,Classification 48hrs,East/West
7-5-132,00000070__,6.49,39.90051303,-74.96048207,4,409,Camden,Cherry Hill Twp,53074,27268,25806,01/01/2019,7 days volume,East/West
8-4-512,05000623__,1.63,39.252632,-74.622185,5,508,Cape May,Ocean City,12524,5903,6621,01/01/2019,7 days volume,East/West
150902,09091118__,0.24,40.77636837,-74.0855604,9,909,Hudson,Secaucus Town,3159,1531,1628,01/01/2019,major,East/West
8-4-502,01000688__,1.45,39.61549003,-74.79061208,1,113,Atlantic,Hammonton Town,2044,987,1057,01/01/2019,Classification 48hrs,East/West
190219,02000S91__,1.46,41.03865102,-74.25003606,2,242,Bergen,Oakland Boro,15196,7724,7472,01/01/2019,Volume 48hrs,North/South
8-4-511,05000603__,4.6,39.01568457,-74.93791923,5,505,Cape May,Lower Twp,14392,7252,7140,01/01/2019,Classification 48hrs,North/South
152001,20000611__,1.03,40.61990884,-74.36911979999999,20,2016,Union,Scotch Plains Twp,9065,4478,4587,01/01/2019,major,North/South
4-5-607,00000527__,52.14,40.5456556,-74.5191972,18,1808,Somerset,Franklin Twp,12426,6272,6154,01/01/2019,Classification 48hrs,North/South
191604,16071217__,0.36,40.87313001,-74.12061502,16,1607,Passaic,Passaic City,6044,3917,2127,01/01/2019,Volume 48hrs,North/South
8-4-610,01041008__,0.43,39.52634875,-74.9331434,1,104,Atlantic,Buena Boro,90,35,55,01/01/2019,7 days volume,North/South
191401,14081255__,1.9,40.89442201,-74.48690101,14,1408,Morris,Denville Twp,9001,4590,4411,01/01/2019,Volume 48hrs,North/South
m04061,04111136__,0.1,39.81170104,-74.98710004,4,411,Camden,Clementon Boro,362,174,188,01/01/2019,Volume 48hrs,East/West
150902,09091118__,0.24,40.77636837,-74.0855604,9,909,Hudson,Secaucus Town,3039,1458,1581,01/01/2019,major,East/West
m04044,04081628__,0.48,39.94461204,-75.07663105,4,408,Camden,Camden City,2128,1028,1100,01/01/2019,Volume 48hrs,North/South
150902,09091118__,0.24,40.77636837,-74.0855604,9,909,Hudson,Secaucus Town,2943,1409,1534,01/01/2019,major,East/West
m04081,04251058__,0.3,39.88435401,-75.09345409,4,425,Camden,Mount Ephraim Boro,404,211,193,01/01/2019,Volume 48hrs,East/West
192007,20041388__,0.08,40.63765301,-74.20003702,20,2004,Union,Elizabeth City,1791,825,966,01/01/2019,Volume 48hrs,North/South
m04065,04141128__,0.14,39.88994402,-75.11250404,4,414,Camden,Gloucester City,1721,816,905,01/01/2019,Volume 48hrs,North/South
13ms1a,00000044__,7.67,39.83748645,-75.21177362,8,802,Gloucester,Deptford Twp,3758,1795,1963,01/01/2019,major,North/South
8-4-605,01081362__,0.29,39.351738,-74.60236,1,108,Atlantic,Egg Harbor Twp,991,549,442,01/01/2019,Classification 48hrs,North/South
190217,02341417__,0.38,40.91125602,-74.06506107,2,234,Bergen,Maywood Boro,4997,1625,3372,01/01/2019,Volume 48hrs,North/South
8-4-608,01101002__,0.35,39.60041769,-74.85371424,1,110,Atlantic,Folsom Boro,99,48,51,01/01/2019,Classification 48hrs,East/West
190216,02000098__,0.7,41.07106105,-74.17764206,2,233,Bergen,Mahwah Twp,973,209,764,01/01/2019,Volume 48hrs,East/West
8-4-546,05000607__,1.2,38.954366,-74.937769,5,505,Cape May,Lower Twp,575,292,283,01/01/2019,Classification 48hrs,North/South
190215,02000112__,2.5,41.00556909,-74.06412608,2,227,Bergen,Hillsdale Boro,7213,3416,3797,01/01/2019,Volume 48hrs,East/West
8-4-637,13000048__,0.78,40.09790275,-74.06945559,13,1308,Monmouth,Brielle Boro,5227,2494,2733,01/01/2019,Classification 48hrs,North/South
7-5-307,00000045__,14.91,39.707907,-75.259245,8,816,Gloucester,South Harrison Twp,4728,2272,2456,01/01/2019,Volume 48hrs,North/South
8-5-073,00000055__,26,39.412,-75.01756,6,610,Cumberland,Millville City,18550,9250,9300,01/01/2019,Volume 48hrs,North/South
7-5-183,00000295__,11.58,39.774547,-75.343938,8,809,Gloucester,Logan Twp,57228,29320,27908,01/01/2019,Volume 48hrs,North/South
8-5-061,00000157__,0.32,39.427145,-74.49695,1,101,Atlantic,Absecon City,7965,3775,4190,01/01/2019,Classification 48hrs,North/South
152001,20000611__,1.03,40.61990884,-74.36911979999999,20,2016,Union,Scotch Plains Twp,9297,4405,4892,01/01/2019,major,North/South
162108,00000122__,1.29,40.6740935,-75.15842918,21,2120,Warren,Pohatcong Twp,10408,4978,5430,01/01/2019,Classification 48hrs,East/West
150902,09091118__,0.24,40.77636837,-74.0855604,9,909,Hudson,Secaucus Town,3344,1625,1719,01/01/2019,major,East/West
8-4-663,05051021__,0.23,39.00498682,-74.87891445,5,505,Cape May,Lower Twp,211,105,106,01/01/2019,Volume 48hrs,East/West
8-8-290,01141146__,0.36,39.340626,-74.57671,1,114,Atlantic,Linwood City,1400,669,731,01/01/2019,Classification 48hrs,East/West
8-5-042,00000040__,46.57,39.44807076,-74.73254134,1,112,Atlantic,Hamilton Twp,26656,13833,12823,01/01/2019,Classification 48hrs,East/West
13mc28,00000524__,19.74,40.2043722,-74.36396666,13,1332,Monmouth,Millstone Twp,2306,1007,1299,01/01/2019,major,East/West
8-5-037,00000049__,36.16,39.3952876,-75.04155642,6,610,Cumberland,Millville City,20729,10464,10265,01/01/2019,Volume 48hrs,East/West
7-5-226,17000630__,3.08,39.63653716,-75.51894333,17,1709,Salem,Pilesgrove Twp,3738,1885,1853,01/01/2019,Volume 48hrs,East/West
8-5-040,00000040__,57.2,39.403051,-74.562647,1,108,Atlantic,Egg Harbor Twp,33005,17150,15855,01/01/2019,Volume 48hrs,East/West
150902,09091118__,0.24,40.77636837,-74.0855604,9,909,Hudson,Secaucus Town,2990,1429,1561,01/01/2019,major,East/West
8-5-113,00000555__,17.49,39.49826898,-74.99527278,6,614,Cumberland,Vineland City,16958,8487,8471,01/01/2019,Volume 48hrs,North/South
8-8-283,00000559A_,0.9,39.33677,-74.596664,1,108,Atlantic,Egg Harbor Twp,18581,9130,9451,01/01/2019,Volume 48hrs,North/South
12s157r,00000295__X100730,0.01,39.73410875,-75.40403526,17,1707,Salem,Penns Grove Boro,0,2300,0,01/01/2019,ramp,South
150902,09091118__,0.24,40.77636837,-74.0855604,9,909,Hudson,Secaucus Town,3188,1547,1641,01/01/2019,major,East/West
m04045,04081629__,0.07,39.94455205,-75.08887511,4,408,Camden,Camden City,2335,987,1348,01/01/2019,Volume 48hrs,East/West
191403,14000650__,7.33,40.80574302,-74.44846701,14,1422,Morris,Morris Twp,20560,10153,10407,01/01/2019,Volume 48hrs,East/West
12s156r,00000295__Y100700,0.2,39.7318513,-75.40776534,17,1707,Salem,Penns Grove Boro,0,1036,0,01/01/2019,ramp,South
152001,20000611__,1.03,40.61990884,-74.36911979999999,20,2016,Union,Scotch Plains Twp,10469,5090,5379,01/01/2019,major,North/South
090825,00000553A_,6.12,39.79307,-75.17233,8,810,Gloucester,Mantua Twp,7922,4145,3777,01/01/2019,Volume 48hrs,North/South
152001,20000611__,1.03,40.61990884,-74.36911979999999,20,2016,Union,Scotch Plains Twp,9639,4754,4885,01/01/2019,major,North/South
12s209r,00000322__A101550,15.1,39.71878999,-75.15336999,8,808,Gloucester,Harrison Twp,0,3882,0,01/01/2019,ramp,East
13msab,01700620__,7.98,39.68042215,-75.34329754,17,1710,Salem,Pittsgrove Twp,2350,1195,1155,01/01/2019,major,North/South
12s200r,00000295__Y102050,0.27,39.83579165,-75.20488069,8,820,Gloucester,West Deptford Twp,0,655,0,01/01/2019,ramp,South
7-9-361,04081604__,0.9,39.9313111,-75.1219639,4,408,Camden,Camden City,1895,953,942,01/01/2019,Volume 48hrs,North/South
4d5c909,00000531__,5.54,40.581733,-74.393228,12,1222,Middlesex,South Plainfield Boro,13774,6693,7081,01/01/2019,Classification 48hrs,North/South
13mc28,00000524__,19.74,40.2043722,-74.36396666,13,1332,Monmouth,Millstone Twp,2192,966,1226,01/01/2019,major,East/West
c19506,00000088__,6.11,40.2091667,-74.0815056,15,1506,Ocean,Brick Twp,22704,10204,12500,01/01/2019,Volume 48hrs,East/West
7-7-192,00000130__,3.75,39.727024,-75.46332,17,1707,Salem,Penns Grove Boro,9217,4902,4315,01/01/2019,7 days volume,North/South
8-8-232,00000548__,9.03,39.302303,-74.81754,5,511,Cape May,Upper Twp,791,409,382,01/01/2019,Volume 48hrs,East/West
7-5-505,15000641__,2.08,40.1450889,-74.2694056,15,1511,Ocean,Jackson Twp,11611,5653,5958,01/01/2019,7 days volume,North/South
130123,01000623__,8.69,39.61438603,-74.67355301,1,117,Atlantic,Mullica Twp,427,227,200,01/01/2019,Classification 48hrs,North/South
152001,20000611__,1.03,40.61990884,-74.36911979999999,20,2016,Union,Scotch Plains Twp,9961,4749,5212,01/01/2019,major,North/South
n18223,07141921__,0.76,40.75876223,-74.18963158,7,714,Essex,Newark City,9462,4618,4844,01/01/2019,Volume 48hrs,North/South
7-4-227,00000030__,5.64,39.90174875,-75.07669218,4,426,Camden,Oaklyn Boro,15811,8447,7364,01/01/2019,Volume 48hrs,East/West
131707,17000611__,12.08,39.60432501,-75.14656801,17,1714,Salem,Upper Pittsgrove Twp,2016,983,1033,01/01/2019,Classification 48hrs,East/West
4-8-788,18000632__,0.91,40.4337667,-74.5803917,18,1808,Somerset,Franklin Twp,4391,2181,2210,01/01/2019,7 days volume,East/West
190701,07021030__,0.29,40.79238902,-74.19112307,7,702,Essex,Bloomfield Twp,5882,3241,2641,01/01/2019,Volume 48hrs,East/West
7-5-409,00000543__,4.12,39.98384271,-75.049787,4,427,Camden,Pennsauken Twp,4973,2728,2245,01/01/2019,Volume 48hrs,North/South
190704,07171029__,0.76,40.77066305,-74.23084801,7,717,Essex,Orange City,10401,4936,5465,01/01/2019,Volume 48hrs,North/South
13mc28,00000524__,19.74,40.2043722,-74.36396666,13,1332,Monmouth,Millstone Twp,2192,958,1234,01/01/2019,major,East/West
131710,17000611__,3.15,39.56873001,-75.29830586,17,1701,Salem,Alloway Twp,958,493,465,01/01/2019,Classification 48hrs,East/West
15ms6a,05000619__,16.39,39.21357443,-74.65015251,5,511,Cape May,Upper Twp,1231,568,663,01/01/2019,major,North/South
131713,17000626__,3.85,39.51855019,-75.39255152,17,1712,Salem,Salem City,809,406,403,01/01/2019,Classification 48hrs,North/South
15ms4a,00000347__,6,39.26735477,-74.93759313,6,609,Cumberland,Maurice River Twp,9440,4784,4656,01/01/2019,major,North/South
131715,00000049__,12.11,39.55071302,-75.41882904,17,1712,Salem,Salem City,6461,3249,3212,01/01/2019,7 days volume,East/West
13mc21,15000614__,9.91,39.8654639,-74.2254722,15,1512,Ocean,Lacey Twp,6361,3162,3199,01/01/2019,major,East/West
162006,20000615__,1.64,40.63010886,-74.27622787,20,2009,Union,Linden City,15963,8177,7786,01/01/2019,Classification 48hrs,North/South
7-5-407,00000538__,16.12,39.61682605,-75.06936809,8,805,Gloucester,Franklin Twp,6513,3295,3218,01/01/2019,Volume 48hrs,East/West
090233,00000507__,25.89,41.07308702,-74.13719501,2,248,Bergen,Ramsey Boro,18092,9102,8990,01/01/2019,Volume 48hrs,North/South
pd10109,00000010__,3.21,40.85678052,-74.60374511,14,1432,Morris,Randolph Twp,31923,16173,15750,01/01/2019,Volume 48hrs,East/West
8-8-222,00000047__,18.71,39.19343,-74.82843,5,504,Cape May,Dennis Twp,13884,6812,7072,01/01/2019,Classification 48hrs,North/South
7-6-190,00000030__,14.8,39.80563105,-74.96363703,4,422,Camden,Lindenwold Boro,17054,8311,8743,01/01/2019,Volume 48hrs,East/West
c19505,00000088__,5.73,40.2260583,-74.1541528,15,1506,Ocean,Brick Twp,21325,9611,11714,01/01/2019,Volume 48hrs,East/West
7-6-081,00000295__,36.07,39.92614,-74.975298,3,324,Burlington,Mount Laurel Twp,128507,65618,62889,01/01/2019,Volume 48hrs,North/South
c19507,00000088__,7.74,40.2145889,-74.1265944,15,1506,Ocean,Brick Twp,20779,9940,10839,01/01/2019,Volume 48hrs,East/West
7-5-511,08000689__,5.12,39.72205704,-75.01990307,8,811,Gloucester,Monroe Twp,29572,14372,15200,01/01/2019,Volume 48hrs,East/West
160320,03000612__,1.66,39.93497005,-74.91095603,3,324,Burlington,Mount Laurel Twp,6342,3364,2978,01/01/2019,7 days volume,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,3368,1504,1864,01/01/2019,major,North/South
160319,03000602__,1.15,40.0035615,-75.01708536,3,327,Burlington,Palmyra Boro,1672,760,912,01/01/2019,Volume 48hrs,East/West
12s081r,00000038__A100280,0.03,39.93783301,-75.02926803,4,409,Camden,Cherry Hill Twp,0,4321,0,01/01/2019,ramp,East
160305,00000068__,1.81,40.04191504,-74.64507502,3,334,Burlington,Springfield Twp,4629,2108,2521,01/01/2019,Volume 48hrs,North/South
7-6-185,00000045__,11.31,39.67224401,-75.30822325,17,1710,Salem,Pittsgrove Twp,4044,1990,2054,01/01/2019,7 days volume,North/South
160265,0200S114__,1.17,41.00358845,-74.02043948,2,253,Bergen,River Vale Twp,5704,2454,3250,01/01/2019,7 days volume,North/South
7-6-178,00000049__,20.45,39.47229342,-75.3021187,6,612,Cumberland,Stow Creek Twp,4489,2348,2141,01/01/2019,Volume 48hrs,East/West
160303,00000009__,59.31,39.59470881,-74.40160052,3,301,Burlington,Bass River Twp,8507,4400,4107,01/01/2019,7 days volume,North/South
12s077r,00000038__A100260,0.01,39.93785813,-75.03148102,4,409,Camden,Cherry Hill Twp,0,235,0,01/01/2019,ramp,East
160312,00000537__,7.35,39.95614802,-74.99367101,3,319,Burlington,Maple Shade Twp,11213,5531,5682,01/01/2019,7 days volume,East/West
7-5-408,00000540__,30,39.50157003,-75.10095404,17,1711,Salem,Quinton Twp,3845,1859,1986,01/01/2019,7 days volume,East/West
160263,02000S80__,0.64,40.95309858,-74.04393802,2,244,Bergen,Oradell Boro,6139,2886,3253,01/01/2019,7 days volume,East/West
7-9-360,04081613__,0.31,39.93165343,-75.09353312,4,408,Camden,Camden City,3428,1469,1959,01/01/2019,Volume 48hrs,North/South
160311,00000528__,9.14,40.07732401,-74.57839405,3,326,Burlington,North Hanover Twp,2355,1174,1181,01/01/2019,Volume 48hrs,East/West
7-8-119,00000049__,2.92,39.64658801,-75.51872402,17,1709,Salem,Pilesgrove Twp,10925,5364,5561,01/01/2019,Classification 48hrs,East/West
160519,05000642__,0.41,39.04709213,-74.92097706,5,506,Cape May,Middle Twp,877,401,476,01/01/2019,Classification 48hrs,East/West
7-7-729,08141004__,0.1,39.83246502,-75.23835101,8,814,Gloucester,Paulsboro Boro,2024,1021,1003,01/01/2019,Volume 48hrs,North/South
160332,03000654__,1.2,39.61013103,-74.43482706,3,301,Burlington,Bass River Twp,772,332,440,01/01/2019,7 days volume,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,3660,1660,2000,01/01/2019,major,North/South
160324,03000624__,1.05,40.04719901,-74.93377002,3,309,Burlington,Delanco Twp,3089,1529,1560,01/01/2019,7 days volume,East/West
130423,04000711__,1,39.7333083,-74.9188167,4,436,Camden,Winslow Twp,3766,1785,1981,01/01/2019,Classification 48hrs,North/South
160507,00000050__,6.71,39.29109277,-74.75360853,5,511,Cape May,Upper Twp,13016,6476,6540,01/01/2019,Volume 48hrs,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,3594,1596,1998,01/01/2019,major,North/South
4-4-419,00000514__,16.73,40.5032444,-74.5823861,18,1808,Somerset,Franklin Twp,13844,6602,7242,01/01/2019,Classification 48hrs,East/West
7-7-196,00000130__,2.45,39.71004795,-75.47035243,17,1702,Salem,Elmer Boro,10811,5530,5281,01/01/2019,Volume 48hrs,North/South
8-8-075,06101334__,0.26,39.41326,-75.026215,6,610,Cumberland,Millville City,1299,612,687,01/01/2019,Volume 48hrs,East/West
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,3089,1393,1696,01/01/2019,major,North/South
160606,00000550S_,2.01,39.23857095,-74.90944803,6,609,Cumberland,Maurice River Twp,125,58,67,01/01/2019,7 days volume,East/West
15ms4a,00000347__,6,39.26735477,-74.93759313,6,609,Cumberland,Maurice River Twp,8224,4221,4003,01/01/2019,major,North/South
8-8-160,06000672__,1.12,39.481023,-74.976419,6,614,Cumberland,Vineland City,7138,3555,3583,01/01/2019,Volume 48hrs,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,3007,1375,1632,01/01/2019,major,North/South
8-8-037,06000670__,10.98,39.351257,-75.055207,6,610,Cumberland,Millville City,3197,1592,1605,01/01/2019,Classification 48hrs,East/West
000DRM,07141820__,2.3,40.730175,-74.12135,7,714,Essex,Newark City,8329,3586,4743,01/01/2019,Weigh in Motion,North/South
m03018,03131180__,0.28,39.81445383,-74.90267279,3,313,Burlington,Evesham Twp,2925,1375,1550,01/01/2019,Volume 48hrs,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,3126,1384,1742,01/01/2019,major,North/South
090821,00000557__,34.11,39.58623942,-74.98381735,8,805,Gloucester,Franklin Twp,2773,1418,1355,01/01/2019,Volume 48hrs,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,3032,1504,1528,01/01/2019,major,North/South
m03017,03131096__,0.99,39.88182516,-74.90753784,3,313,Burlington,Evesham Twp,9828,4266,5562,01/01/2019,Volume 48hrs,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,2916,1301,1615,01/01/2019,major,North/South
8-8-110,06141022__,1.37,39.463646,-74.98073,6,614,Cumberland,Vineland City,1729,778,951,01/01/2019,Classification 48hrs,East/West
7-9-351,00000543__,5.85,39.99956675,-75.0292801,3,327,Burlington,Palmyra Boro,5633,2954,2679,01/01/2019,Volume 48hrs,North/South
091348,00000524S_,0.7,40.1412361,-74.0953972,13,1352,Monmouth,Wall Twp,8900,4360,4540,01/01/2019,7 days volume,East/West
13mc28,00000524__,19.74,40.2043722,-74.36396666,13,1332,Monmouth,Millstone Twp,1901,805,1096,01/01/2019,major,East/West
091408,00000513__,30.47,40.78489659,-74.69638042,14,1406,Morris,Chester Boro,14632,7483,7149,01/01/2019,Classification 48hrs,North/South
7-9-349,00000295__,43.6,39.995269,-74.86883,3,324,Burlington,Mount Laurel Twp,110205,53852,56353,01/01/2019,Volume 48hrs,North/South
8-8-077,00000552__,13.86,39.43613703,-74.98080302,6,614,Cumberland,Vineland City,3155,1596,1559,01/01/2019,7 days volume,East/West
7-8-174,00000581__,4.44,39.57026244,-75.33794986,17,1701,Salem,Alloway Twp,1275,643,632,01/01/2019,Volume 48hrs,North/South
3-4-613,07141928__,0.55,40.7648735,-74.17675877,7,714,Essex,Newark City,9032,4141,4891,01/01/2019,7 days volume,North/South
1-5-608,18031001__,0.42,40.72440751,-74.56989505,18,1803,Somerset,Bernardsville Boro,5423,2629,2794,01/01/2019,Classification 48hrs,North/South
